,z>=0.0,z>=0.5,z>=1.0,z>=1.5,z>=2.0,v3_best,v3_gross,N225_B&H
2024-11-18,0.0001079606701256474,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.010922018865645367
2024-11-19,4.8686941477013796e-05,0.0001324490338586149,0.0,0.0,0.0,0.0,0.0,0.005064725590518515
2024-11-20,0.0026597644459050948,0.0026597644459050948,0.0027041501906879227,-0.0,-0.0,-0.0,-0.0,-0.0016163156463625539
2024-11-21,-0.009118246729206091,-0.009118246729206091,-0.009097393140417201,-0.0049547760766120805,-0.0,-0.0049547760766120805,-0.004786212770477705,-0.00850451289488019
2024-11-22,-0.0014410591010304656,-0.0003,-0.0003,-0.00016856330613437574,0.0,-0.00016856330613437574,0.0,0.00677637728949021
2024-11-25,0.0015085352365265636,0.0015965800818180638,0.0,0.0,0.0,0.0,0.0,0.01296340473188251
2024-11-26,0.0011103058650579513,-0.00020908833669033378,-0.0,-0.0,-0.0,-0.0,-0.0,-0.008719427509811917
2024-11-27,0.004839345979367497,0.004732648004490881,0.004732648004490881,0.0044946836810742805,-0.0,0.0044946836810742805,0.004779599251182761,-0.007986869829873622
2024-11-28,0.0034787952178404855,-0.0003,-0.0003,-0.00028491557010848094,0.0,-0.00028491557010848094,0.0,0.005614003387638844
2024-11-29,-6.712220508447524e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.003677465599455032
2024-12-02,0.0024273777254559576,0.0,0.0,0.0,0.0,0.0,0.0,0.007982308202545862
2024-12-03,0.00622051184653248,0.0,0.0,0.0,0.0,0.0,0.0,0.019106262056469703
2024-12-04,-0.0011198325529740137,-0.0012655367589265941,-0.0,-0.0,-0.0,-0.0,-0.0,0.0007014535056153459
2024-12-05,0.0049564260430347605,0.0049564260430347605,0.0051235242256862604,0.0051235242256862604,0.0051235242256862604,0.0051235242256862604,0.00542352422568626,0.0030351805652966135
2024-12-06,0.005225908617411616,0.005225908617411616,-0.0003,-0.0003,-0.0003,-0.0003,-0.0,-0.007727504478311609
2024-12-09,-0.0024167834574682,-0.00022337267487671918,-0.0,-0.0,-0.0,-0.0,-0.0,0.0017734982522827902
2024-12-10,-0.00036011443249014355,-0.0005008903659428406,-0.0002841239023104908,-0.0,-0.0,-0.0,-0.0,0.00528793363210367
2024-12-11,-0.0007468433730731225,-0.0007468433730731225,-0.00017017131190515673,0.0,0.0,0.0,0.0,0.00011817703733840723
2024-12-12,-0.0005216328156325488,-0.0005216328156325488,-0.00032078107024860995,-0.00032078107024860995,-0.000205768044671702,-0.00032078107024860995,-2.078107024860998e-05,0.01211285595385636
2024-12-13,0.0032766701528831772,0.0032766701528831772,0.002757284886340015,-0.0003,-0.00019243783105302514,-0.0003,-0.0,-0.009503322099559064
2024-12-16,0.0023698503285691785,0.0023698503285691785,0.0016219288103392563,-0.0,-0.0,-0.0,-0.0,-0.00032817279307018055
2024-12-17,-0.0017711620602547115,-0.0003,-0.00021106400964115103,-0.0,-0.0,-0.0,-0.0,-0.0023521161075552577
2024-12-18,0.0010097020025703002,0.0010834750992324857,-0.0,-0.0,-0.0,-0.0,-0.0,-0.007188392036881042
2024-12-19,-0.007709422460954794,-0.007709422460954794,-0.007862082849601692,-0.006129708912555164,0.0,-0.006129708912555164,-0.0058958125381536,-0.006860825845849017
2024-12-20,0.0051478743971810495,0.0051478743971810495,-0.0003,-0.00023389637440156353,-0.0,-0.00023389637440156353,-0.0,-0.0028773355329502204
2024-12-23,0.0007474272117801626,-0.00024477789362083424,0.0,0.0,0.0,0.0,0.0,0.011871288613708675
2024-12-24,0.0020159134333901352,0.002122616581368068,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0031788565392986134
2024-12-25,-0.0005092229223740716,-0.00015449281488900157,-0.0,-0.0,-0.0,-0.0,-0.0,0.0023971739844381723
2024-12-26,0.0032398104744127704,0.0,0.0,0.0,0.0,0.0,0.0,0.01118385128261945
2024-12-27,-0.0019812670456003413,0.0,0.0,0.0,0.0,0.0,0.0,0.01802215190342027
2024-12-30,-0.005029850935381892,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.009598062524770912
2025-01-06,-0.013298062532252169,-0.013434324762614625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.014726032561239055
2025-01-07,0.012552053607109995,0.012552053607109995,0.012304508804179737,0.007559534165867728,0.0,0.007559534165867728,0.007743845485063985,0.019748365358672082
2025-01-08,0.002550171826826153,0.002550171826826153,0.002550171826826153,0.0017451350946989742,0.0,0.0017451350946989742,0.001768917720626577,-0.002550742715974774
2025-01-09,-0.004906224845698691,-0.004906224845698691,-0.0003,-0.0002080939451238591,-0.0,-0.0002080939451238591,-0.0,-0.009403671719156903
2025-01-10,-0.0016708376783322568,-0.00020276052518462888,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01047065939973979
2025-01-14,0.0030230560966988244,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01827227292399225
2025-01-15,-0.005596328468801694,-0.005527817091728269,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0007725327204513022
2025-01-16,-0.00039479622648762997,-0.0002224642182740338,-0.0,-0.0,-0.0,-0.0,-0.0,0.0033300778352605143
2025-01-17,-9.570593127579703e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0031405873623461256
2025-01-20,-0.0004061203147330949,0.0,0.0,0.0,0.0,0.0,0.0,0.01173008909162454
2025-01-21,-0.0009503107559594622,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.003225511695906347
2025-01-22,0.007169519685832688,0.007094984940847227,0.006746828590753392,0.0,0.0,0.0,0.0,0.015841699309679935
2025-01-23,0.0021208088827887606,0.0021208088827887606,-0.0002852787700186889,0.0,0.0,0.0,0.0,0.007885262635179968
2025-01-24,-0.0019347937562206772,-0.0019347937562206772,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0006729575752255634
2025-01-27,-0.0019277245081483559,-0.00018084978659095482,-0.0,-0.0,-0.0,-0.0,-0.0,-0.009170085810959572
2025-01-28,-0.009986332456538929,-0.01002457481134259,-0.01002457481134259,-0.008134337992512015,-0.0,-0.008134337992512015,-0.007890906082064058,-0.013873842476610165
2025-01-29,-0.0004035263362325061,-0.0003,-0.0003,-0.00024343191044795797,0.0,-0.00024343191044795797,0.0,0.010198412765952014
2025-01-30,-0.0017470815862433888,0.0,0.0,0.0,0.0,0.0,0.0,0.0025165051499556057
2025-01-31,-0.000151128198477091,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.001480983386413115
2025-02-03,-0.00044413297064921673,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.026594194179056507
2025-02-04,-0.0027223389847431485,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0072243146661599145
2025-02-05,0.0004140499790821619,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0008533702335078441
2025-02-06,-0.00033600706964965983,0.0,0.0,0.0,0.0,0.0,0.0,0.00605309863061132
2025-02-07,-0.0024680830154077842,-0.0024240431320747056,-0.0,-0.0,-0.0,-0.0,-0.0,-0.007154761628599959
2025-02-10,-0.0018568361785367628,-0.0018568361785367628,0.0,0.0,0.0,0.0,0.0,0.0003648731952348161
2025-02-12,0.0021374126043549693,0.0021374126043549693,0.0015004845274620819,-0.0,-0.0,-0.0,-0.0,0.004188722553885471
2025-02-13,0.005415697696651445,0.005415697696651445,0.003823183560961036,0.0,0.0,0.0,0.0,0.012775212344583231
2025-02-14,-0.005775598514500896,-0.005775598514500896,-0.00021318473243670287,-0.0,-0.0,-0.0,-0.0,-0.007907436605486207
2025-02-17,-0.0026014285016544123,-0.0026014285016544123,-0.001657513627232981,0.0,0.0,0.0,0.0,0.0006339891206110781
2025-02-18,-0.0003357065352181334,-0.0003,-0.00021155771078389072,0.0,0.0,0.0,0.0,0.002454378513947253
2025-02-19,0.0013885993789975086,0.0013826580081985566,0.0008935190104420942,-0.0,-0.0,-0.0,-0.0,-0.0026938627238113355
2025-02-20,-0.001579069236665893,-0.0003,-0.00019386985179500302,-0.0,-0.0,-0.0,-0.0,-0.012423724384459045
