,Alpha Only (≥2),"Alpha+PCA (≥2,top30%)","Alpha+PCA (≥2,top50%)",Alpha Only (≥3),JP Equal-Weight B&H
2018-03-08,0.0019497943286567194,-0.00037341101989294556,-0.006805059027936892,0.001937907596644273,0.0007401410172119032
2018-03-09,0.002518574649324274,-0.002457708056281225,-0.016118342981185314,0.006337629656556057,0.0023813901784962305
2018-03-12,0.01582456080014789,0.013913696267285357,0.019665011781202422,0.007784658609974486,0.01686726326569439
2018-03-13,0.0012338671272308361,0.003276786950952833,-0.0011377477985510301,0.0028522750278793915,0.003987684292636931
2018-03-14,0.00031867606590251895,-0.004177644594509795,0.0011982250646383737,-0.002635523285782377,-0.0033954649084144695
2018-03-15,-0.00519899073892996,0.0005610381300788457,-0.003548227744824919,-0.0013228054322090101,-8.69147805443797e-05
2018-03-16,-0.003310375017665413,-0.0029515834213971024,-0.004741979505193997,-0.001078397557710071,-0.0037158294284262046
2018-03-19,-0.011898608323123295,-0.009363834330091443,-0.010784002106116485,-0.006167439173443579,-0.009210667587264632
2018-03-20,-0.0010156618902087172,-0.005369082920891926,-0.002060267911830859,0.002061541558985654,0.0019449453762790316
2018-03-21,0.0,0.0,0.0,0.0,0.0
2018-03-22,0.005303908210050514,0.016653123811846936,0.012040435033286783,0.001986033203226827,0.0066049212109935244
2018-03-23,-0.03358215380165337,-0.04297349375885264,-0.0427204393805112,-0.023110303512447517,-0.03467149987957923
2018-03-26,0.012988053665006973,0.010999716293029083,0.00963009731851634,0.015547382188644147,0.002791458047888432
2018-03-27,0.027912093614838616,0.025294723506368355,0.028739961403624184,0.028237113955005992,0.030304407999269756
2018-03-28,0.002393756791490131,-0.00815240196843613,-0.0004029005908145742,-0.005101162044416748,0.0006401484185150118
2018-03-29,0.006766185264086876,0.004096242459302725,0.0062195364296189146,0.0008840376569573095,0.0019470974266095223
2018-03-30,0.004744379059103254,0.006236363130553562,0.006201629913426262,0.006334565022023946,0.007040020161397951
2018-04-02,-0.002517491067894213,-0.0025426808378425764,-0.0017723183925544544,-0.005613157719856486,-0.004028964552744017
2018-04-03,-0.005479656401461582,0.003580187715650149,-0.005300337630535557,0.0005531047242194285,-0.0017611921956347705
2018-04-04,0.0018846413753806366,0.004026214688672134,0.00459218322079941,0.0009294098332568515,0.0004154562665695043
2018-04-05,0.0060292174659253754,0.010571559913494446,0.007404588981777934,0.012740301976912796,0.01105442308445514
2018-04-06,0.005423575066442514,0.0010313122869533055,0.004268067438501444,-0.001535927416161687,-0.00213560590530757
2018-04-09,0.0013373711550520116,0.007036951187799537,0.000750893419289976,0.006489663392746344,0.004055076807459641
2018-04-10,0.0018513397975832033,-0.0024498461101736427,0.005044183120167162,0.003950363730700831,0.0064844306473601536
2018-04-11,-0.008471300789600787,-0.00955269282712866,-0.00761309395607443,-0.004956587713515152,0.0003508379352050815
2018-04-12,-0.00040358507567161,-0.0008170876386383119,-0.0011896930653091222,-0.004569212226996599,-0.003380955258395263
2018-04-13,0.002594966978167368,-0.0010003815199307819,0.0049977521702795034,0.00700047276460584,0.006945635811016434
2018-04-16,0.004830099875269745,0.00941097181119718,0.005158789767975409,0.002692888583066127,0.0018282349410940562
2018-04-17,0.0011288864502689514,0.005811142627052854,0.0014348392355546086,-0.004414544268763405,-0.0023111425846248563
2018-04-18,0.00264102814111553,0.004160470353188683,0.000641483628750593,0.008418629804804584,0.009958747256535325
2018-04-19,0.005613977092849779,-0.00019416793558779547,0.0048387167363526705,0.004168954138316917,0.008453152850992853
2018-04-20,0.0003227602909740906,-0.004264299161047993,0.0026023035713504733,-0.0035642170173334035,0.0006817982463565694
2018-04-23,-0.005007094834139316,-0.002107896861059605,-0.004080646707859152,0.0009700353015133373,0.0010365864186922132
2018-04-24,0.008201099505290778,0.0018976393141206175,0.010427202574273159,0.013115234343931309,0.011181333274523565
2018-04-25,-0.0004800849591868323,-0.018822802281683156,-0.002491529796249872,-0.003948149925579941,-0.002242321617591747
2018-04-26,0.004615413376857651,0.004113322632902115,0.0011594316142711906,-0.0020557561673587195,0.0013429759544472447
2018-04-27,0.0060239468013684894,0.006409527642320885,0.005344987099299746,0.005797002436349577,0.0069735466132331255
2018-04-30,0.0,0.0,0.0,0.0,0.0
2018-05-01,0.005692420871833117,0.00041625284223863684,0.006528401942729102,-0.0035243734572234287,0.0023121099617923603
2018-05-02,-0.006604735340540347,-0.014042404081468066,-0.019196613865917887,-0.00999620978646007,-0.006551598666532572
2018-05-03,0.0,0.0,0.0,0.0,0.0
2018-05-04,0.0,0.0,0.0,0.0,0.0
2018-05-07,0.006948265762115088,6.121389263791688e-05,0.005432537003552769,0.004363812258116775,0.0038973196949743803
2018-05-08,-0.003596701891399421,0.0016348211409560743,-0.00217035954573725,0.003058902880982445,0.0024871696888508045
2018-05-09,0.0016654521418090038,-0.0001629143326869623,-0.002905986210143481,-0.007484021112901916,-0.006976427705028872
2018-05-10,0.007534361520813552,0.004111999915436615,0.006031099893969457,0.0045432172481733625,0.0038723234093122018
2018-05-11,0.002052998097448613,0.005532273622053327,0.005935341385435833,0.010866659255323206,0.009236515258859757
2018-05-14,0.003097911971186434,0.007718452418222766,0.007386999320853034,0.02050544706581531,0.008796045842651845
2018-05-15,0.003475338242135877,0.00020869012490878696,0.0030561532664634757,-0.0023448809513054083,-0.0007252591494146026
2018-05-16,-0.005437645922047514,-0.0011705134748530809,-0.005210027418769531,-0.008093627271238066,-0.004415542269053039
2018-05-17,0.0052384342856790205,-0.00010213550583353234,0.007307115179302771,0.002690235544768004,0.004932879666193003
2018-05-18,0.0040843932008624885,0.004663561318163057,0.005984752636423867,0.0022651152922358946,0.005416433020903466
2018-05-21,-0.0014264195524567678,0.005096230675762231,0.0020273960481028575,0.0002828216446046489,-0.0020621511543356596
2018-05-22,-0.004812037098271432,-0.0027547671754313504,-0.0052778054410619925,-0.0015870125282021945,-0.0028923229527489935
2018-05-23,-0.013388830789408246,-0.005333392225717533,-0.013319450591914425,-0.007435481365631933,-0.011430288632241166
2018-05-24,-0.012413019399773515,-0.008528468975747163,-0.015224916186085645,-0.013926424204249516,-0.014155908623483685
2018-05-25,-0.004523323649476998,0.002436859789951223,-0.00431419831797103,0.001120887547592949,-0.0038070628305647797
2018-05-28,-0.009102582273493358,-0.008855181069947447,-0.019156075241402427,-0.0021618631266787434,-0.002172234146108042
2018-05-29,-0.0026278726959728235,-0.0032729541653959008,-0.003777408751622569,-0.0032357815847150933,-0.004750480970678842
2018-05-30,-0.024864915864493915,-0.012899502835615265,-0.029022463617106125,-0.018206142280271103,-0.015192393398811059
2018-05-31,-0.00019025374134017272,0.004917854527206316,-0.002409698715511904,0.0008670574220898052,0.006701910429439457
2018-06-01,0.0013319710703661052,-0.006144964211614337,-0.002824912009611278,0.0041702939932780105,0.0006641225976857637
2018-06-04,0.017730522598589916,0.011935595324820981,0.015441250090774673,0.014375002574373486,0.015298550820294932
2018-06-05,0.003361792145157214,-0.0006952338271761705,-0.00042181559401982776,0.0015845796198567554,-0.00016605072914936217
2018-06-06,0.003947338329109783,0.0019175049196684388,0.0033671029867958133,0.0030869309105755827,0.006476129839408613
2018-06-07,0.006432888857111208,0.0068001272193028975,0.0037092182897621537,0.00458167492255164,0.007967972916616696
2018-06-08,-0.008405192156332135,-0.0005322882830397667,-0.008129299362847259,-0.006627797563030292,-0.005652626161683947
2018-06-11,-0.00235604378085118,0.007294763509242986,0.004783552315123371,-0.00555231907090714,0.001987637197869273
2018-06-12,0.0066252571200735265,0.005331896559034696,0.00402940344872881,0.00439322570847765,0.0032071184238621864
2018-06-13,0.008575478921472417,0.004540295854612568,0.00493010337472229,0.0024861179750835876,0.005067613840931203
2018-06-14,-0.010218710364079325,-0.008761334216753222,-0.010806093956757905,-0.008823816437904437,-0.009224619116891479
2018-06-15,0.0061670729976723,0.004750129165501536,0.003796233906303115,0.00041674761287348284,0.005590499546196697
2018-06-18,-0.006281830541395312,-0.007475423565407119,-0.009612333281662819,-0.01717870287619818,-0.012527810367036098
2018-06-19,-0.02687124864661701,-0.015719141678777884,-0.016980807681879383,-0.027295252958895604,-0.015468173241728302
2018-06-20,0.005886813205680549,0.010887206969367237,0.007905241820571137,0.003745647397074639,0.005432907191207433
2018-06-21,0.001032445483081655,-0.0021954835131202124,-0.0022339877383347004,-0.0041762952318839175,0.0012924128505975314
2018-06-22,-0.0031951929420214738,-0.0057872659436119505,-0.006364555555192245,-0.0035062347342410755,-0.0050020993387612095
2018-06-25,-0.00475770896884481,-0.00485376090550313,-0.004364513685981555,-0.007501676922130231,-0.0061609307131739914
2018-06-26,0.00346494256163379,0.006048441607203131,0.004225193953128756,0.0056492135285298554,0.003426645093061007
2018-06-27,6.941179068400082e-05,0.004693105108053499,0.0011225217044132545,-0.0018562846535924282,0.0033254324406903554
2018-06-28,0.0026495730678613577,-0.005065648638602664,0.00010241988489868457,-0.0008023267344790046,-0.001682373513994068
2018-06-29,0.0037366183931635145,0.0035411117635027814,0.0053749047561927376,0.004323744579170853,0.001618420019096788
2018-07-02,-0.022729436891725893,-0.03016885323093884,-0.04162574625097185,-0.021217087803638304,-0.02049978859000756
2018-07-03,-0.006243624070007393,-0.003772294166800236,-0.0021138852457371657,-0.004022317158466166,-0.0006919677221964783
2018-07-04,0.005716167864054478,0.008646148721119223,0.005759350133468922,0.007072376245718752,0.0036001572856061512
2018-07-05,-0.014442869171934866,-0.004234688569320939,-0.00900614658189778,-0.01025998103702563,-0.008544756247516654
2018-07-06,0.009496964825472536,0.0015630990229503258,0.007116981186696635,0.003026583506409726,0.006794148158729844
2018-07-09,0.013721807273691183,0.005180331027187648,0.012982359519097564,0.010431047312413892,0.010896104194038357
2018-07-10,-0.002759967298808344,-0.005560949633712491,-0.0038718870635982444,0.0008230380790665243,0.0047496760410956585
2018-07-11,-0.007477136052074547,-0.008013091653227968,-0.005791678142171867,-0.008575583008086583,-0.007358608366567508
2018-07-12,0.0036373914655456526,0.006358677301426233,0.006256399623025457,0.00014953304046810834,0.0038832323675425
2018-07-13,0.012422732843674867,0.0069170575304558085,0.014588247275615716,0.008620454781256047,0.009677275563212366
2018-07-16,0.0,0.0,0.0,0.0,0.0
2018-07-17,0.010803658949205035,0.014392186754061313,0.011005690579698508,0.011553828721441426,0.00769267834506949
2018-07-18,-0.002795875750871723,0.002903510730706021,0.0032713427730681846,0.007458086295533752,0.004967475829256783
2018-07-19,-0.006205012531707502,-0.011260017181109458,-0.006906039501956125,-0.005390998037669776,-0.0010398008254061642
2018-07-20,-0.0021671686064839834,0.003959927694969023,0.0008953857902060499,-0.003556639995625187,-0.0014624814725798796
2018-07-23,-0.006977133343805567,-0.0044395316645287515,-0.007077617601994046,-0.0004737857190704447,-0.003515565978498186
2018-07-24,0.004560850498866239,-0.0005840967396129873,0.0014529262352247618,0.005782648165428869,0.0072773699432496395
2018-07-25,0.006831173502190247,0.0013812774439999646,0.003813923991572914,0.004688416661725225,0.00536486812714516
2018-07-26,0.007965508144194727,0.011054225718930968,0.007838396627215529,0.006491764499847863,0.007546081752966841
2018-07-27,0.006027037798578363,0.0073458944381959886,0.005829530852099619,0.0038007582258392757,0.00569815440630978
2018-07-30,-0.0068462622706044135,-0.005224125145531614,-0.00732256080750911,-0.005150714942745406,-0.006043542676153717
2018-07-31,-0.005969799048875008,-0.006333092401448156,-0.006874339221285755,-0.005400279045965946,-0.0073661023948804905
2018-08-01,0.006830173445808098,0.013658990836658252,0.01697847721134974,0.009535807925219285,0.009752694598292174
2018-08-02,-0.011815692194141266,-0.006810875379819557,-0.008859800564169521,-0.010556110394308944,-0.010726724913104885
2018-08-03,-0.011010321500607519,-0.010944834947773879,-0.011943138273488214,-0.008425065458463596,-0.007127343408160983
2018-08-06,0.000469374214411529,0.0009030507911976762,-0.0017383830829693521,-0.00016961943958381111,-0.0015049632452275852
2018-08-07,0.007040360456289858,0.005879790319732615,0.006299588496536111,0.00524177769047891,0.009363421584381276
2018-08-08,-0.013552201918248144,-0.006609393507103003,-0.007039801864062522,-0.021221850010457743,-0.0026205142687609063
2018-08-09,-0.008716871081736424,-0.003268272125521678,-0.006521114062411074,-0.008382088240287498,-0.004995934183318832
2018-08-10,-0.010419418255877182,0.00174795894833581,-0.004755783827955514,-0.008838034817800525,-0.010832995400194419
2018-08-13,-0.035082468305786214,-0.019493972754168865,-0.03548410833612524,-0.013270372069766249,-0.022496361509814874
2018-08-14,0.014056420323078387,0.013536323592731856,0.015316799278003182,0.007633137443660137,0.015475022241213105
2018-08-15,-0.007546331613460547,-0.001822497586377921,-0.003944709093133875,-0.002982665790904482,-0.00635177687767378
2018-08-16,-0.01619068066394182,-0.000662460207441368,-0.001111563724649055,-0.019607915234091753,-0.0035878330648041923
2018-08-17,0.007981349130035467,0.00594550438422178,0.0078524039437383,0.004621897464138836,0.004045702907633834
2018-08-20,-0.0045137096751410605,-0.0015372636114410242,-0.005013955235852334,-0.0032053057060791638,-0.0035126718373920903
2018-08-21,-0.0011003914487029492,-0.000498552583185017,0.0015765989982157995,-0.002562853522064818,-0.0034189866015309836
2018-08-22,0.009386063159410925,0.003857642358321778,0.009944406865853898,0.0019501212674737135,0.006438052682808328
2018-08-23,0.000587449710803857,0.0015889112829902124,-0.00022601696523213868,-0.001116910456984966,-0.0011790100249881748
2018-08-24,0.00572483291456837,0.007995602801826382,0.0062299815012878765,0.0027372013581574927,0.005114513463355901
2018-08-27,0.010235942125484992,0.010753661913090944,0.010526730604945607,0.004893993241514768,0.010057411414443197
2018-08-28,-0.001825859315347735,-0.0014963782010551558,0.0015515842674831714,5.7636044021554755e-05,0.0017838120185804031
2018-08-29,0.005458962520515763,0.0013162768408056826,0.009201560588789846,0.0008657852334855432,0.0030837509008483756
2018-08-30,-0.0008970405680844859,0.0013914230439660428,-0.0007127659741670185,-0.0015801295728114122,-0.002399994409649971
2018-08-31,-0.003972163376253532,-0.0037612223487186484,-0.00421835838846782,-0.003233569971146499,-0.004660416878094696
2018-09-03,-0.010788606045938528,-0.004493458482215956,-0.01005470353355507,-0.00393246538324973,-0.007690725120803109
2018-09-04,0.001460049204726716,2.6345068035027583e-05,0.0014476516562400327,-0.0024600321098384834,-0.0014998744079971417
2018-09-05,-0.006699414043606767,-0.009723369454813604,-0.006916581962095148,-0.002845417602515058,-0.00909136953612014
